username,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02
Vlad_Lazarev79,2517,2517,2525,2538,2541,2546,2550,2550,2556,2564,2556,2556,2556,2551,2544,2543,2550,2537,2549,2549,2549,2549,2549,2550,2550,2550,2550,2554,2556,2556
Lucon2000,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2522,2522,2522,2519,2559,2562,2547,2547,2547,2552,2559,2562,2562,2553,2542,2539,2539,2539
Truemasterme,2540,2540,2540,2541,2541,2541,2541,2541,2541,2541,2542,2542,2542,2542,2542,2543,2543,2544,2544,2544,2544,2525,2512,2537,2537,2537,2537,2537,2537,2537
MW1966,2514,2514,2514,2514,2514,2516,2516,2516,2516,2516,2516,2516,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2514,2514,2514,2514
sabke,2382,2382,2382,2382,2382,2382,2382,2382,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2418,2473,2498,2511,2511,2474,2479,2487,2497,2514,2499
ChessTheory64,2504,2511,2511,2489,2489,2489,2489,2489,2489,2479,2470,2479,2473,2482,2487,2487,2496,2471,2471,2471,2471,2471,2471,2476,2489,2489,2489,2489,2489,2497
CoD_Dragon,2550,2550,2550,2550,2550,2550,2490,2480,2445,2446,2449,2455,2462,2470,2470,2473,2476,2469,2471,2473,2476,2476,2479,2484,2485,2487,2487,2494,2491,2491
Bestfiercechess,2468,2481,2481,2481,2463,2463,2463,2463,2463,2463,2463,2463,2463,2460,2491,2478,2479,2479,2479,2479,2479,2479,2458,2469,2488,2488,2488,2488,2488,2488
Tinea,2482,2482,2482,2466,2466,2466,2466,2466,2467,2467,2467,2467,2467,2470,2472,2472,2472,2478,2478,2478,2478,2479,2479,2479,2483,2483,2483,2485,2485,2487
sos-shubham,2483,2483,2483,2484,2484,2484,2467,2467,2467,2467,2470,2470,2469,2466,2481,2482,2482,2482,2484,2484,2484,2484,2484,2484,2484,2464,2464,2484,2484,2484
avcs,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2454,2454,2454,2454,2454,2454,2454,2454,2454,2462,2469,2477,2461,2457,2470
Konnov_Oleg,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453
slowchess666,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2431,2431,2408,2431,2441,2454,2434,2442,2442,2442,2442,2449,2449,2449
Thorwald5,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2417,2417,2417,2417,2417,2417,2417,2417,2417,2425,2425,2425,2425,2425,2425,2425,2425,2425,2435
DeeDeeChess,2408,2408,2408,2408,2408,2414,2430,2417,2417,2417,2416,2417,2417,2404,2407,2400,2414,2420,2420,2420,2420,2414,2414,2406,2409,2415,2414,2420,2430,2430
OjaiJoao,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2434,2423,2426,2426,2426
ChessClubKomotini,2376,2380,2380,2380,2380,2375,2382,2383,2405,2414,2416,2416,2412,2390,2396,2396,2398,2398,2398,2401,2401,2401,2401,2406,2406,2406,2406,2406,2414,2419
ringo-bunny,2470,2487,2504,2504,2504,2474,2492,2478,2478,2435,2435,2435,2435,2460,2445,2445,2445,2455,2455,2427,2430,2430,2425,2415,2415,2415,2415,2415,2415,2415
gek76,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2415,2415,2415,2415,2415,2415,2415,2419,2419,2419,2419,2419,2407,2407,2407,2407,2407,2407
